route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
22,10522:2-7-8,STAN-S1-0_43587914,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602342,"Essey Mouzimpré",,0,105,10522$STAN-62$1,,
22,10522:2-7-8,STAN-S1-0_43587915,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:2-7-8,STAN-S1-0_43587916,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:2-7-8,STAN-S1-0_43587917,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:2-7-8,STAN-S1-0_43587918,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:2-7-8,STAN-S1-0_43587919,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:2-7-8,STAN-S1-0_43587920,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587903,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587904,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587905,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587906,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602343,"Essey Mouzimpré",,0,106,10522$STAN-62$1,,
22,10522:3-7-16,STAN-S1-0_53587907,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587908,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587909,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587910,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587911,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587912,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587913,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587914,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587915,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587916,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602344,"Essey Mouzimpré",,0,118,10522$STAN-62$1,,
22,10522:3-7-16,STAN-S1-0_53587917,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587918,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587919,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:3-7-16,STAN-S1-0_53587920,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:4-7-32,STAN-S1-1_63590501,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:4-7-32,STAN-S1-1_63590502,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:4-7-32,STAN-S1-1_63590514,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:4-7-32,STAN-S1-1_63590515,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:4-7-32,STAN-S1-1_63590516,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:4-7-32,STAN-S1-1_63590517,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
1,10522:2-7-8,STAN-S1-0_43602259,"Essey Mouzimpré",,0,115,10522$STAN-62$1,,
1,10522:15-7-127,STAN-S1-6_43602345,"Essey Mouzimpré",,0,107,10522$STAN-62$1,,
22,10522:4-7-32,STAN-S1-1_63590518,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:4-7-32,STAN-S1-1_63590519,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:4-7-32,STAN-S1-1_63590520,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:4-7-32,STAN-S1-1_63590521,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:4-7-32,STAN-S1-1_63590522,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:6-7-127,STAN-S1-4_13594023,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:6-7-127,STAN-S1-4_13594024,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:6-7-127,STAN-S1-4_13594025,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:6-7-127,STAN-S1-4_13594026,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:6-7-127,STAN-S1-4_13594027,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602346,"Essey Mouzimpré",,0,119,10522$STAN-62$1,,
22,10522:6-7-127,STAN-S1-4_13594028,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:6-7-127,STAN-S1-4_13594029,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:6-7-127,STAN-S1-4_13594030,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:6-7-127,STAN-S1-4_13594031,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:6-7-127,STAN-S1-4_13594032,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:6-7-127,STAN-S1-4_13594033,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:7-7-127,STAN-S1-4_23594023,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:7-7-127,STAN-S1-4_23594024,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:7-7-127,STAN-S1-4_23594025,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:7-7-127,STAN-S1-4_23594026,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602347,"Essey Mouzimpré",,0,108,10522$STAN-62$1,,
22,10522:7-7-127,STAN-S1-4_23594027,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:7-7-127,STAN-S1-4_23594028,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:7-7-127,STAN-S1-4_23594029,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:7-7-127,STAN-S1-4_23594030,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:7-7-127,STAN-S1-4_23594031,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:7-7-127,STAN-S1-4_23594032,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:7-7-127,STAN-S1-4_23594033,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:8-7-4,STAN-S1-4_33594023,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:8-7-4,STAN-S1-4_33594024,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:8-7-4,STAN-S1-4_33594025,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602348,"Essey Mouzimpré",,0,120,10522$STAN-62$1,,
22,10522:8-7-4,STAN-S1-4_33594026,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:8-7-4,STAN-S1-4_33594027,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:8-7-4,STAN-S1-4_33594028,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:8-7-4,STAN-S1-4_33594029,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:8-7-4,STAN-S1-4_33594030,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:8-7-4,STAN-S1-4_33594031,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:8-7-4,STAN-S1-4_33594032,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:8-7-4,STAN-S1-4_33594033,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:9-7-8,STAN-S1-4_43594023,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:9-7-8,STAN-S1-4_43594024,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602349,"Essey Mouzimpré",,0,101,10522$STAN-62$1,,
22,10522:9-7-8,STAN-S1-4_43594025,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:9-7-8,STAN-S1-4_43594026,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:9-7-8,STAN-S1-4_43594027,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:9-7-8,STAN-S1-4_43594028,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:9-7-8,STAN-S1-4_43594029,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:9-7-8,STAN-S1-4_43594030,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
